,title,year,kind,genre,rating,vote,country,language,director,runtime
1574,Salmonberries,1991.0,0,7,1,0.00027172125055136264,2,2,2683,0.06365883807169344
1575,Mötley Crüe: Carnival of Sins,2005.0,0,6,4,0.00011494336906731783,8,2,1277,0.05809641532756489
1576,A Private Function,1984.0,0,4,1,0.0010690139483575285,7,2,2164,0.028430160692212606
1577,Dead or Alive: Final,2002.0,0,0,2,0.0010255547946818994,6,0,3351,0.09332509270704573
1579,Zatoichi the Outlaw,1967.0,0,0,1,0.00046464740004597735,6,4,3113,0.10259579728059331
1580,My Neighbor Totoro,1988.0,0,2,4,0.12612130708887845,6,4,1295,0.03584672435105068
1581,Elvira: Mistress of the Dark,1988.0,0,4,1,0.006528620898897762,8,2,1467,0.060568603213844247
1582,The Grandfather,1998.0,0,7,1,0.0007408364140593205,9,0,1830,0.07354758961681086
1583,Pumpkinhead II: Blood Wings,1993.0,0,10,2,0.0017984778736045348,8,2,1530,0.06242274412855376
1584,The Seduction of Mimi,1972.0,0,4,1,0.0008829925242132472,5,0,2100,0.05129789864029666
1587,Boxer Shorts,2002.0,0,4,2,2.8837382345510835e-05,8,2,1342,0.04079110012360939
1588,Jack & Sarah,1995.0,0,4,1,0.002109190514369546,7,2,3432,0.018541409147095178
1589,Three Colors: Red,1994.0,0,7,4,0.03970257692473281,9,0,2003,0.07354758961681086
1590,An Evening with the Dixie Chicks,2002.0,0,9,1,3.655442832529543e-05,8,2,1646,0.05809641532756489
1591,The Longest Nite,1998.0,0,0,1,0.0008281608817253041,3,0,3365,0.06489493201483311
1592,Nothing Funny,1995.0,0,4,1,0.0013305811910407535,9,0,2201,0.05315203955500618
1594,Barbarians at the Gate,1993.0,0,3,1,0.0012111700585114551,8,2,1198,0.06427688504326327
1595,Daughter from Danang,2003.0,1,6,1,5.686244406157066e-06,10,1,1100,0.06860321384425215
1596,The Gin Game,2003.0,0,7,1,6.579797098553176e-05,8,2,239,0.07292954264524103
1597,The Boy's Club,1996.0,0,1,1,0.0004898293395589586,0,2,1690,0.05686032138442521
1598,Linkin Park: Live in Texas,2003.0,0,9,4,0.00026562884583048005,8,2,1986,0.037082818294190356
1600,The Work of Director Mark Romanek,2005.0,0,6,4,0.00013971914826557363,8,2,2248,0.012360939431396786
1601,Ed McBain's 87th Precinct: Lightning,1995.0,0,7,2,9.910311679302315e-05,8,2,426,0.05809641532756489
1602,Inspector Gadget 2,2003.0,0,0,0,0.002496261294302952,8,2,110,0.05809641532756489
1604,Things to Come,1936.0,0,7,1,0.0030876307125432866,7,2,3600,0.06118665018541409
1605,WarGames,1983.0,0,0,1,0.038512527202587084,8,2,1660,0.0519159456118665
1606,EXPO: Magic of the White City,2005.0,0,6,1,7.310885665059084e-05,8,2,2226,0.05006180469715698
1607,Zombie 3,1988.0,0,0,2,0.0019109842807834997,5,0,2127,0.038318912237330034
1608,Iron Monkey,1993.0,0,0,1,0.006482318623019055,3,0,3628,0.07292954264524103
1609,Sabrina the Teenage Witch in Friends Forever,2002.0,0,2,1,0.00013443906417414205,8,0,3122,0.11001236093943138
1611,Out of the Ashes,2003.0,0,7,1,0.0004687090031932324,8,2,1820,0.10259579728059331
1612,Shanghai Surprise,1986.0,0,1,0,0.0021595543933955086,7,2,1593,0.06427688504326327
1613,Deewana,1992.0,0,0,1,0.002622577152182584,4,3,2808,0.03770086526576019
1615,House Party 4: Down to the Last Minute,2001.0,0,4,0,0.00039438166559846503,8,2,566,0.03275648949320148
1617,Dennis the Menace Strikes Again!,1998.0,0,4,2,0.0018061949195843194,8,2,520,0.061804697156983925
1618,Gale Force,2002.0,0,0,0,0.00021282800491616446,8,2,1613,0.14524103831891222
1619,Beautiful Boxer,2003.0,0,0,1,0.0012932144420860071,9,0,957,0.05871446229913473
1620,WTC the First 24 Hours,2002.0,0,6,2,5.19885202848646e-05,8,1,3696,0.013597033374536464
1621,Comedy Central Roast of Denis Leary,2003.0,0,4,1,0.00041144039881693624,8,2,1695,0.06798516687268231
1622,Sword of the Beast,1965.0,0,0,1,0.0010698262689869795,6,4,1322,0.07601977750309022
1623,Ekipazh,1980.0,0,0,1,0.0009646307474730736,9,0,93,0.05624227441285537
1624,Circles,2001.0,0,10,2,8.123206294510093e-06,8,2,1442,0.08467243510506797
1626,Why the Towers Fell,2002.0,1,6,1,4.386531399035451e-05,7,2,1103,0.04511742892459827
1627,Halloweentown High,2004.0,0,4,1,0.002677408794670527,8,2,2220,0.03337453646477132
1628,Ditto,2000.0,0,7,1,0.0008245054388927745,9,0,1557,0.16563658838071693
1629,Martin Scorsese Directs,1990.0,1,6,4,6.011172657937469e-05,8,2,3293,0.15327564894932014
1630,Dixie Chicks: Top of the World,2003.0,0,9,1,1.7871053847922207e-05,8,2,2136,0.06427688504326327
1631,White Wolves: A Cry in the Wild II,1993.0,0,0,2,0.00018642758445900666,8,2,488,0.0173053152039555
1632,Jerry and Tom,1998.0,0,4,1,0.0007631752313692233,8,2,3116,0.08467243510506797
1633,Mother Kusters Goes to Heaven,1975.0,0,7,1,0.0007615505901103212,9,0,2807,0.0173053152039555
1634,Christina's House,2000.0,0,5,2,0.0009268578382036017,0,2,1134,0.0772558714462299
1635,Sacred Silence,1996.0,0,5,1,0.00014378075141282867,5,0,216,0.06365883807169344
1636,The Quiet Family,1998.0,0,4,1,0.002027146130794994,9,0,1526,0.055624227441285534
1637,Meat Loaf,1998.0,1,6,1,5.361316154376662e-05,8,2,2363,0.05624227441285537
1639,Sooryavansham,1999.0,0,0,1,0.0012184809441765142,4,3,932,0.0173053152039555
1640,Gorgeous,1999.0,0,0,1,0.005157423676384458,3,0,3545,0.0519159456118665
1641,American Girl,2002.0,0,4,2,0.000568218280300981,8,2,1798,0.0630407911001236
1642,Gacy,2003.0,0,3,2,0.0016936885124053547,8,2,635,0.052533992583436336
1643,Conagher,1991.0,0,7,1,0.000701032703216221,8,0,2846,0.05500618046971569
1646,Sting: All This Time,1991.0,0,10,2,4.873923776706056e-06,8,2,108,0.05129789864029666
1647,Frankenstein Must Be Destroyed,1969.0,0,7,1,0.0018350323019298302,7,2,3379,0.04820766378244746
1648,The Navigators,2001.0,0,4,1,0.0011360304002872366,7,2,1934,0.03770086526576019
1649,John Denver: A Portrait,1998.0,0,6,4,1.1372488812314131e-05,8,1,1268,0.060568603213844247
1650,I Know Where I'm Going!,1945.0,0,7,1,0.0034312423388010637,7,0,2409,0.14524103831891222
1652,Blessed,2004.0,0,7,2,0.0008862418067310512,9,0,3197,0.028430160692212606
1653,Tom Jones,1963.0,0,1,1,0.005069693048403749,7,2,3483,0.06427688504326327
1655,Triads: The Inside Story,1989.0,0,5,2,0.00010885096434643526,3,0,3369,0.06365883807169344
1656,Richard Jeni: A Big Steaming Pile of Me,2005.0,0,6,1,0.00010519552151390572,8,2,3297,0.07787391841779974
1657,In the Mirror of Maya Deren,2001.0,0,6,1,0.00016165180526075086,9,0,2272,0.06365883807169344
1659,The Cramps: Live at Napa State Mental Hospital,1981.0,0,6,4,6.011172657937469e-05,8,2,1639,0.05315203955500618
1662,Dragon Ball Z: Bardock - The Father of Goku,1990.0,0,2,1,0.002123812285699664,6,4,2475,0.054388133498145856
1663,Mr. Klein,1976.0,0,5,1,0.0027188371467725286,1,0,1816,0.07292954264524103
1664,L'Eclisse,1962.0,0,7,1,0.0075862623584429766,5,0,2434,0.12237330037082816
1666,I Can't Marry You,2004.0,0,6,1,1.2997130071216152e-05,8,2,489,0.027812113720642767
1667,Urusei Yatsura 2: Beautiful Dreamer,1984.0,0,2,1,0.0007513965822421836,6,4,2165,0.07292954264524103
1668,Mi vida loca,1993.0,0,5,1,0.0008504996990352068,8,2,129,0.05686032138442521
